2 4 32 9.08336 11.7076 5.75778 8.53734
3 8 64 9.08336 11.7076 5.97872 8.14093
4 16 128 9.08336 11.7076 5.26229 7.22933
5 32 256 9.08336 11.7076 6.19206 5.59944
6 64 512 9.08336 11.7076 6.60887 6.88922
7 128 1024 9.08336 11.7076 7.15314 7.25963
8 256 2048 9.08336 11.7076 7.09691 8.25062
9 512 4096 9.08336 11.7076 7.63235 10.9102
10 1024 8192 9.08336 11.7076 7.76224 11.0222
11 2048 16384 9.08336 11.7076 7.80657 11.0502
12 4096 32768 9.08336 11.7076 8.10012 11.2324
13 8192 65536 9.08336 11.7076 8.09189 10.9649
14 16384 131072 9.08336 11.7076 8.08092 10.6887
15 32768 262144 9.08336 11.7076 8.00519 10.9738
