2 4 32 6.06002 11.0169 5.21231 5.40427
3 8 64 6.06002 11.0169 5.19804 5.56424
4 16 128 6.06002 11.0169 4.64312 5.05794
5 32 256 6.06002 11.0169 4.12678 4.13674
6 64 512 6.06002 11.0169 3.68518 4.39993
7 128 1024 6.06002 11.0169 4.84232 5.37022
8 256 2048 6.06002 11.0169 4.86495 5.88765
9 512 4096 6.06002 11.0169 5.72375 6.85289
10 1024 8192 6.06002 11.0169 6.57967 6.4898
11 2048 16384 6.06002 11.0169 6.55383 6.43488
12 4096 32768 6.06002 11.0169 6.27081 6.41304
13 8192 65536 6.06002 11.0169 6.22163 5.53526
14 16384 131072 6.06002 11.0169 6.04386 5.19672
15 32768 262144 6.06002 11.0169 6.03047 5.22142
