1 2 16 8.39398 10.2294 3.63467 8.20125
2 4 32 8.39398 10.2294 3.68294 8.42654
3 8 64 8.39398 10.2294 3.72331 8.31531
4 16 128 8.39398 10.2294 3.65313 8.0087
5 32 256 8.39398 10.2294 3.53087 7.68842
6 64 512 8.39398 10.2294 3.44934 6.65406
7 128 1024 8.39398 10.2294 3.42164 6.92848
8 256 2048 8.39398 10.2294 3.67891 7.49425
9 512 4096 8.39398 10.2294 4.05574 9.72029
10 1024 8192 8.39398 10.2294 4.08658 9.79155
11 2048 16384 8.39398 10.2294 4.10935 9.76739
12 4096 32768 8.39398 10.2294 4.12186 9.8519
13 8192 65536 8.39398 10.2294 4.09965 9.86571
14 16384 131072 8.39398 10.2294 4.12921 9.85547
15 32768 262144 8.39398 10.2294 4.11519 9.84978
