1 2 16 6.5248 10.2134 3.56624 5.80629
2 4 32 6.5248 10.2134 3.57881 6.21328
3 8 64 6.5248 10.2134 3.56348 6.11997
4 16 128 6.5248 10.2134 3.6243 6.17605
5 32 256 6.5248 10.2134 3.40082 5.57567
6 64 512 6.5248 10.2134 3.15196 4.23573
7 128 1024 6.5248 10.2134 3.49527 5.31415
8 256 2048 6.5248 10.2134 3.50522 5.99631
9 512 4096 6.5248 10.2134 3.77044 7.01252
10 1024 8192 6.5248 10.2134 3.98839 8.99022
11 2048 16384 6.5248 10.2134 4.01439 9.04081
12 4096 32768 6.5248 10.2134 4.00167 8.87781
13 8192 65536 6.5248 10.2134 3.9979 9.06475
14 16384 131072 6.5248 10.2134 3.93124 9.04128
15 32768 262144 6.5248 10.2134 3.98045 9.09252
